rank,self,accum,count,method,trace
141,0.11%,56.43%,15,java.nio.Buffer.limit,30114
142,0.11%,56.54%,15,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30116
143,0.11%,56.64%,15,java.util.ArrayList.access$000,30118
144,0.11%,56.75%,15,java.util.Arrays.copyOfRange,30119
145,0.11%,56.85%,15,org.apache.fop.layoutmgr.BreakingAlgorithm.addBreaks,30121
146,0.11%,56.96%,15,java.nio.Buffer.limit,30124
147,0.11%,57.06%,15,java.lang.String.charAt,30128
148,0.11%,57.17%,15,org.apache.fop.fo.properties.CommonFont.getFontFamily,30142
149,0.11%,57.28%,15,org.apache.fop.layoutmgr.KnuthPenalty.isPenalty,30143
150,0.11%,57.38%,15,java.lang.AbstractStringBuilder.append,30183
151,0.10%,57.48%,14,java.lang.ClassLoader.defineClass1,30007
152,0.10%,57.58%,14,java.util.logging.Level.intValue,30114
153,0.10%,57.68%,14,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30117
154,0.10%,57.77%,14,org.apache.fop.fonts.GlyphMapping.processWordNoMapping,30125
155,0.10%,57.87%,14,org.apache.fop.fo.properties.CommonBorderPaddingBackground.<init>,30132
156,0.10%,57.97%,14,java.security.AccessController.doPrivileged,30134
157,0.10%,58.07%,14,org.apache.fop.layoutmgr.BreakingAlgorithm.forceNode,30136
158,0.10%,58.17%,14,org.apache.fop.fo.properties.EnumProperty.getEnum,30142
159,0.10%,58.27%,14,org.apache.fop.fo.PropertyList.findMaker,30143
160,0.10%,58.36%,14,java.util.ArrayList.rangeCheck,30146
161,0.10%,58.46%,14,java.lang.System.identityHashCode,30148
162,0.10%,58.56%,14,java.lang.System.arraycopy,30166
163,0.10%,58.66%,14,org.apache.fop.util.CharUtilities.isBmpCodePoint,30177
164,0.10%,58.76%,14,java.lang.AbstractStringBuilder.<init>,30181
165,0.09%,58.85%,13,java.lang.System.identityHashCode,30058
166,0.09%,58.94%,13,org.apache.fop.fo.properties.PropertyMaker.findProperty,30098
167,0.09%,59.03%,13,org.apache.fop.layoutmgr.KnuthPenalty.isPenalty,30103
168,0.09%,59.12%,13,java.lang.System.arraycopy,30109
169,0.09%,59.21%,13,org.apache.fop.layoutmgr.FloatContentLayoutManager.checkForFloats,30117
170,0.09%,59.30%,13,org.apache.fop.layoutmgr.FootenoteUtil.getFootnotes,30127
171,0.09%,59.40%,13,java.util.ArrayList.get,30134
172,0.09%,59.49%,13,org.apache.fop.complexscripts.bidi.BidiClass.getBidiClass,30140
173,0.09%,59.58%,13,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30172
174,0.09%,59.67%,13,org.apache.fop.layoutmgr.BreakingAlgorithm.computeAdjustmentRatio,30172
175,0.09%,59.76%,13,java.lang.AbstractStringBuilder.<init>,30172
176,0.09%,59.85%,13,java.lang.String.charAt,30178
177,0.09%,59.94%,13,org.apache.fop.layoutmgr.BreakingAlgorithm$BestRecords.<init>,30200
178,0.08%,60.03%,12,org.apache.fop.fo.properties.CompoundPropertyMaker.makeCompound,30098
179,0.08%,60.11%,12,java.lang.AbstractStringBuilder.<init>,30102
180,0.08%,60.20%,12,org.apache.fop.traits.MinOptMax.<init>,30115
181,0.08%,60.28%,12,java.util.Vector.size,30122
182,0.08%,60.37%,12,java.lang.AbstractStringBuilder.appendCodePoint,30123
183,0.08%,60.45%,12,org.apache.fop.layoutmgr.KnuthPenalty.isPenaltyFlagged,30125
184,0.08%,60.53%,12,java.util.ArrayList.elementData,30127
185,0.08%,60.62%,12,org.apache.fop.fo.properties.PropertyMaker.getShorthand,30133
186,0.08%,60.70%,12,org.apache.fop.fo.StaticPropertyList.get,30140
187,0.08%,60.79%,12,org.apache.fop.layoutmgr.KnuthPenalty.getPenalty,30146
188,0.08%,60.87%,12,java.lang.Character.isLowSurrogate,30148
189,0.08%,60.96%,12,java.util.regex.Pattern.split,30216
190,0.08%,61.04%,12,org.apache.fop.layoutmgr.KnuthPossPosIter.next,30221
191,0.08%,61.12%,12,org.apache.fop.fo.StaticPropertyList.get,30250
192,0.08%,61.20%,11,org.apache.fop.fo.PropertyList.findMaker,30098
193,0.08%,61.28%,11,org.apache.fop.layoutmgr.inline.TextLayoutManager.addAreas,30102
194,0.08%,61.36%,11,org.apache.fop.layoutmgr.KnuthPenalty.isPenalty,30104
195,0.08%,61.43%,11,java.lang.AbstractStringBuilder.<init>,30110
196,0.08%,61.51%,11,java.lang.AbstractStringBuilder.appendCodePoint,30110
197,0.08%,61.59%,11,java.lang.AbstractStringBuilder.<init>,30111
198,0.08%,61.66%,11,java.util.ArrayList.get,30115
199,0.08%,61.74%,11,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30115
200,0.08%,61.82%,11,org.apache.fop.fo.FOText$TextCharIterator.nextChar,30119
201,0.08%,61.90%,11,org.apache.fop.fonts.AbstractCodePointMapping.mapChar,30120
202,0.08%,61.97%,11,java.util.Arrays.copyOf,30133
203,0.08%,62.05%,11,java.util.ArrayList.rangeCheck,30135
204,0.08%,62.13%,11,org.apache.fop.fo.properties.CompoundPropertyMaker.makeCompound,30138
205,0.08%,62.21%,11,org.apache.fop.fonts.AbstractCodePointMapping.mapChar,30143
206,0.08%,62.28%,11,org.apache.fop.layoutmgr.ListElement.isPenalty,30144
207,0.08%,62.36%,11,java.util.Arrays.copyOfRange,30147
208,0.08%,62.44%,11,org.apache.fop.fo.properties.PropertyMaker.findProperty,30162
209,0.08%,62.51%,11,java.lang.AbstractStringBuilder.append,30170
210,0.08%,62.59%,11,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30189
211,0.08%,62.67%,11,java.nio.Buffer.checkIndex,30194
212,0.07%,62.74%,10,java.lang.System.arraycopy,30044
213,0.07%,62.81%,10,java.util.Arrays.copyOfRange,30095
214,0.07%,62.88%,10,org.apache.fop.render.AbstractRenderer.renderInlineArea,30106
215,0.07%,62.95%,10,java.util.HashMap.resize,30107
216,0.07%,63.02%,10,java.util.ArrayList.size,30109
217,0.07%,63.09%,10,org.apache.fop.complexscripts.bidi.BidiClass.getBidiClass,30110
218,0.07%,63.16%,10,org.apache.fop.layoutmgr.inline.TextLayoutManager.getNextKnuthElements,30110
219,0.07%,63.23%,10,org.apache.fop.layoutmgr.BreakingAlgorithm.getNode,30113
220,0.07%,63.30%,10,org.apache.fop.fo.FOText$TextCharIterator.hasNext,30119
221,0.07%,63.37%,10,org.apache.fop.util.CharUtilities$1$1.next,30120
222,0.07%,63.44%,10,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30126
223,0.07%,63.51%,10,java.lang.System.arraycopy,30133
224,0.07%,63.58%,10,java.util.ArrayList$Itr.hasNext,30135
225,0.07%,63.65%,10,java.lang.AbstractStringBuilder.<init>,30141
226,0.07%,63.72%,10,org.apache.fop.layoutmgr.BreakingAlgorithm.findBreakingPoints,30145
227,0.07%,63.79%,10,org.apache.fop.layoutmgr.inline.TextLayoutManager.addAreas,30153
228,0.07%,63.86%,10,java.util.Arrays.copyOfRange,30159
229,0.07%,63.93%,10,org.apache.fop.fonts.Font.getCharWidth,30162
230,0.07%,64.00%,10,java.lang.Integer.valueOf,30164
231,0.07%,64.07%,10,java.nio.HeapCharBuffer.<init>,30169
232,0.07%,64.14%,10,java.nio.HeapCharBuffer.get,30176
233,0.07%,64.21%,10,java.lang.Character.isBmpCodePoint,30198
234,0.07%,64.28%,10,java.util.Arrays.copyOf,30203
235,0.06%,64.35%,9,sun.nio.ch.FileDispatcherImpl.read0,30040
236,0.06%,64.41%,9,java.lang.System.arraycopy,30097
237,0.06%,64.47%,9,java.io.FileOutputStream.writeBytes,30105
238,0.06%,64.54%,9,org.apache.fop.layoutmgr.BreakingAlgorithm$BestRecords.getDemerits,30115
239,0.06%,64.60%,9,org.apache.fop.fonts.base14.TimesRoman.mapChar,30120
240,0.06%,64.66%,9,org.apache.fop.fo.FOText.charAt,30121
241,0.06%,64.73%,9,java.util.logging.Level.intValue,30121
242,0.06%,64.79%,9,org.apache.fop.fonts.Typeface.notifyMapOperation,30124
243,0.06%,64.85%,9,org.apache.fop.layoutmgr.BreakingAlgorithm.elementCanEndLine,30126
244,0.06%,64.92%,9,java.lang.String.charAt,30131
245,0.06%,64.98%,9,java.lang.AbstractStringBuilder.append,30135
246,0.06%,65.04%,9,org.apache.fop.fonts.Typeface.notifyMapOperation,30137
247,0.06%,65.11%,9,org.apache.fop.fo.StaticPropertyList.getExplicit,30149
248,0.06%,65.17%,9,org.apache.fop.fo.properties.CommonFont.getFontFamily,30153
249,0.06%,65.23%,9,java.lang.System.arraycopy,30154
250,0.06%,65.29%,9,java.lang.Thread.currentThread,30155
251,0.06%,65.36%,9,java.lang.System.arraycopy,30157
252,0.06%,65.42%,9,java.util.logging.Level.intValue,30164
253,0.06%,65.48%,9,org.apache.fop.fonts.AbstractCodePointMapping.mapChar,30165
254,0.06%,65.55%,9,java.nio.HeapCharBuffer.get,30182
255,0.06%,65.61%,9,java.lang.System.arraycopy,30191
256,0.06%,65.67%,9,org.apache.fop.fonts.Typeface.notifyMapOperation,30192
257,0.06%,65.74%,9,org.apache.fop.fonts.AbstractCodePointMapping.mapChar,30208
258,0.06%,65.80%,9,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30211
259,0.06%,65.86%,8,org.apache.fop.fo.properties.CommonBorderPaddingBackground.hashCode,30096
260,0.06%,65.91%,8,java.util.Arrays.copyOfRange,30096
261,0.06%,65.97%,8,java.lang.System.arraycopy,30107
262,0.06%,66.03%,8,java.lang.Double.doubleToRawLongBits,30109
263,0.06%,66.08%,8,java.util.Arrays.copyOf,30109
264,0.06%,66.14%,8,java.lang.AbstractStringBuilder.<init>,30110
265,0.06%,66.19%,8,org.apache.fop.fonts.AbstractCodePointMapping.mapChar,30113
266,0.06%,66.25%,8,org.apache.fop.fonts.base14.TimesRoman.getWidth,30116
267,0.06%,66.31%,8,java.lang.Double.longBitsToDouble,30118
268,0.06%,66.36%,8,org.apache.fop.layoutmgr.BreakingAlgorithm.computeAdjustmentRatio,30121
269,0.06%,66.42%,8,org.apache.fop.render.intermediate.IFRenderer.hasDocumentNavigation,30123
270,0.06%,66.47%,8,java.lang.StringBuffer.length,30123
271,0.06%,66.53%,8,org.apache.fop.area.inline.SpaceArea.getSpace,30124
272,0.06%,66.59%,8,org.apache.fop.fonts.Font.getCharWidth,30125
273,0.06%,66.64%,8,org.apache.fop.util.CharUtilities$1$1.hasNext,30125
274,0.06%,66.70%,8,org.apache.fop.fo.properties.CorrespondingPropertyMaker.getWMPropertyList,30132
275,0.06%,66.76%,8,java.lang.AbstractStringBuilder.<init>,30133
276,0.06%,66.81%,8,java.lang.Float.floatToRawIntBits,30136
277,0.06%,66.87%,8,org.apache.fop.layoutmgr.BreakingAlgorithm.forceNode,30145
278,0.06%,66.92%,8,java.lang.Double.doubleToRawLongBits,30147
279,0.06%,66.98%,8,org.apache.fop.layoutmgr.inline.TextLayoutManager.addGlyphMapping,30153
280,0.06%,67.04%,8,java.lang.Character.isHighSurrogate,30153
281,0.06%,67.09%,8,sun.nio.cs.ISO_8859_1$Encoder.encodeISOArray,30157
282,0.06%,67.15%,8,org.apache.fop.pdf.PDFTextUtil.writeChar,30161
283,0.06%,67.21%,8,org.apache.fop.layoutmgr.BreakingAlgorithm.addBreaks,30164
284,0.06%,67.26%,8,org.apache.fop.layoutmgr.BreakingAlgorithm.forceNode,30165
285,0.06%,67.32%,8,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30166
286,0.06%,67.37%,8,java.lang.Integer.hashCode,30169
287,0.06%,67.43%,8,org.apache.fop.util.CharUtilities$1$1.hasNext,30170
288,0.06%,67.49%,8,org.apache.fop.fo.properties.PropertyMaker.getShorthand,30172
289,0.06%,67.54%,8,java.lang.Character.isHighSurrogate,30184
290,0.06%,67.60%,8,org.apache.fop.layoutmgr.BreakingAlgorithm$BestRecords.hasRecords,30191
291,0.06%,67.65%,8,java.util.ArrayList$Itr.next,30194
292,0.06%,67.71%,8,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30237
293,0.06%,67.77%,8,java.lang.Object.hashCode,30251
294,0.06%,67.82%,8,java.lang.StringCoding$StringEncoder.encode,30283
295,0.05%,67.87%,7,org.apache.fop.traits.MinOptMax.plus,30102
296,0.05%,67.92%,7,java.util.Formatter$FormatSpecifier.checkInteger,30104
297,0.05%,67.97%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.getElement,30104
298,0.05%,68.02%,7,java.util.Arrays.copyOfRange,30107
299,0.05%,68.07%,7,java.lang.String.intern,30108
300,0.05%,68.12%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30117
301,0.05%,68.17%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.handleElementAt,30117
302,0.05%,68.22%,7,org.apache.fop.fonts.GlyphMapping.isSpace,30118
303,0.05%,68.27%,7,org.apache.fop.complexscripts.bidi.UnicodeBidiAlgorithm.convertToScalar,30119
304,0.05%,68.31%,7,java.util.ArrayList.rangeCheck,30121
305,0.05%,68.36%,7,java.lang.Integer.valueOf,30121
306,0.05%,68.41%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.addBreaks,30125
307,0.05%,68.46%,7,org.apache.fop.fonts.Font.mapChar,30126
308,0.05%,68.51%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.getNode,30126
309,0.05%,68.56%,7,org.apache.fop.area.Area.getBorderAndPaddingWidthStart,30128
310,0.05%,68.61%,7,org.apache.fop.fo.properties.CommonBorderPaddingBackground.<init>,30132
311,0.05%,68.66%,7,java.util.regex.Matcher.<init>,30135
312,0.05%,68.71%,7,java.lang.AbstractStringBuilder.<init>,30136
313,0.05%,68.76%,7,java.util.Vector.<init>,30140
314,0.05%,68.81%,7,org.apache.fop.render.intermediate.IFGraphicContext.getGroups,30144
315,0.05%,68.86%,7,java.awt.Color.getRGBComponents,30144
316,0.05%,68.90%,7,org.apache.fop.fonts.FontSelector.selectFontForCharactersInText,30146
317,0.05%,68.95%,7,org.apache.fop.render.intermediate.IFRenderer.renderTextWithAdjustments,30154
318,0.05%,69.00%,7,org.apache.fop.layoutmgr.BreakingAlgorithm$BestRecords.hasRecords,30155
319,0.05%,69.05%,7,java.lang.String.intern,30157
320,0.05%,69.10%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.forceNode,30165
321,0.05%,69.15%,7,java.util.Arrays.copyOfRange,30167
322,0.05%,69.20%,7,java.lang.Object.getClass,30176
323,0.05%,69.25%,7,org.apache.fop.fonts.GlyphMapping.processWordNoMapping,30177
324,0.05%,69.30%,7,org.apache.fop.fonts.FontInfo.fontLookup,30177
325,0.05%,69.35%,7,java.util.regex.Pattern.split,30179
326,0.05%,69.40%,7,org.apache.batik.parser.AbstractParser.<init>,30180
327,0.05%,69.45%,7,org.apache.fop.fonts.base14.Helvetica.mapChar,30181
328,0.05%,69.49%,7,org.apache.fop.area.inline.WordArea.isReversed,30184
329,0.05%,69.54%,7,java.lang.AbstractStringBuilder.<init>,30201
330,0.05%,69.59%,7,java.util.ArrayList$Itr.next,30204
331,0.05%,69.64%,7,org.apache.xml.serializer.WriterToUTF8Buffered.write,30205
332,0.05%,69.69%,7,java.lang.AbstractStringBuilder.<init>,30206
333,0.05%,69.74%,7,java.util.ArrayList$Itr.next,30208
334,0.05%,69.79%,7,java.lang.String.charAt,30226
335,0.05%,69.84%,7,java.util.Arrays.copyOfRange,30234
336,0.05%,69.89%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30236
337,0.05%,69.94%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30238
338,0.05%,69.99%,7,org.apache.fop.layoutmgr.BreakingAlgorithm.forceNode,30274
339,0.04%,70.03%,6,java.lang.AbstractStringBuilder.<init>,30052
340,0.04%,70.07%,6,org.apache.fop.fo.properties.EnumProperty.getEnum,30094
341,0.04%,70.11%,6,java.lang.Double.doubleToRawLongBits,30095
342,0.04%,70.15%,6,java.lang.String.toLowerCase,30096
343,0.04%,70.20%,6,org.apache.fop.fonts.GlyphMapping.processWordNoMapping,30104
344,0.04%,70.24%,6,org.apache.fop.util.CharUtilities$1$1.next,30113
345,0.04%,70.28%,6,java.util.ArrayList.get,30113
346,0.04%,70.32%,6,java.util.ArrayList.elementData,30114
347,0.04%,70.37%,6,org.apache.fop.render.pdf.PDFPainter.drawTextWithDX,30118
348,0.04%,70.41%,6,java.util.ArrayList$Itr.checkForComodification,30123
349,0.04%,70.45%,6,org.apache.fop.fonts.Font.mapChar,30124
350,0.04%,70.49%,6,java.lang.StringBuffer.append,30127
351,0.04%,70.53%,6,java.nio.CharBuffer.charAt,30134
352,0.04%,70.58%,6,java.nio.HeapCharBuffer.get,30134
353,0.04%,70.62%,6,java.util.logging.Level.intValue,30135
354,0.04%,70.66%,6,java.util.ArrayList$Itr.next,30136
355,0.04%,70.70%,6,java.util.Vector.<init>,30139
